sentence,hate,category
"সাব্বির লাইভ সেক্স ভিডিও লিন্ক, বাচ্ছারা আসার দরকার নেই,, <br /><a href=""https://youtu.be/VJiZJ_nhwhc"">https://youtu.be/VJiZJ_nhwhc</a>",0,sports
কোথায় কাউয়া কাদের আর কোথায় সাবেক প্রধানমন্ত্রী বেগম জিয়া রাজার সাথে তুলনা কখনই হয়না,1,politics
পাপন সালা তুই আসলেই খারাপ তোর পদত্যাগ চাই তুই সালা সব জানো তুই সালা বড় খারাপ চোর,1,sports
এটাকেতো হোমায়রার বাবা মনে হচ্চে তার বাড়ির কাজের লোক।,0,entertainment
জাকির নায়কের বিরুদ্ধে কট্টর হিন্দুত্ববাদী ভারত সরকারের এটি একটি চক্রান্ত মাত্র হিন্দু ধর্মাবলম্বী বেদম হারে ইসলাম ধর্ম গ্রহণ করছে বলে জাকির নায়ক কে অপবাদ দিয়ে ভারত সরকার চায় হিন্দু কনভার্সন বন্ধ করতে আমার হাতে ক্ষমতা থাকলে আমি এক্ষুনি মিথ্যাচারী ভারত সরকারের বিরুদ্ধে যুদ্ধ ঘোষণা করতাম,0,"Meme, TikTok and others"
সাকিব তুমিই সেরাতুমি আসবে রাজার মতোই,0,sports
আমি এক মত স্যার। মেডিকেলের মত সকল পাবলিক বিশ্ববিদ্যালয়ের পরীক্ষা একটাই হোক।,0,celebrity
তুই একটা মীর জাফর,1,celebrity
পাপোন কে পিটিয়ে মারা দরকার,0,sports
ম্যান অফ দ্যা সিরিজ রাসেলকে দেওয়া উচিত হয় নি,0,sports
খতিয়ে দেখার কি আছে আগে তার নুনুতে ইট বেদে দেওয়া হউক জাতে আর কোন মাদার চোদ এই সাহস না পায় কি বলেন আপনারা,1,crime
একটা জানুয়ার দেখলাম সাথে একটা মহিলা জানুয়ার,1,"Meme, TikTok and others"
অতি শিগগিরি ফাসি দেখতে চায় জনগণ,0,crime
খানকি মাগির পোলারা তোরা আর কি কি করবি 😑,1,crime
নুনু চুশছেন যে তখন তো ভালো লাগছে,1,crime
ষড়যন্ত্রকারীর শিকার হয়েছেন মনে হচ্ছে।,0,crime
মুসলিম ঘড়ে জন্ম নিলে সবাই মুসলমান হয় না,0,religion
তবুও মাগির ড্রেস চেঞ্জ করবে না। এই বেশ্যা গুলা সবই নষ্ট করলো।,1,entertainment
মিন্নি খুনের সাথে জড়িত সন্দেহে রিফাত ফরাজীকে রিমান্ডে বেপক জিজ্ঞাসাবাদ করা হোক |মিন্নি তার স্বামীকে ধরিয়ে দিতে বা সহযুগিতা করতেছে ভিডিওতে এমনটি বুঝাযাচ্ছে প্রয়োজনে মিন্নিকে পুলিশি হেফাজতে জিজ্ঞাসাবাদ করা হোক সাধারণ জনগণের দাবি রেজাল্ট পাওয়া যাবে |,0,crime
এদের কি করা যায় আপনাদের মতামত,0,crime
সালার পুত তর হোগা কাইটা লামু নবিরে নিয়া কিছু বললে,1,"Meme, TikTok and others"
ওকে জেনত ফুরিয়ে মেরে ফেলাহোক,0,"Meme, TikTok and others"
আর সৌম্য চুদিরভাই এইডা একটা শট খেল্লি জাতীয় টিমের ওপেনার হয়ে আর কবে খেলা শিখবি😡😡😡,1,sports
আমার ধোন টা কেঁপে কেঁপে কাদঁতে শুরু করেদিলো ।,0,entertainment
ভিডিওতে তো দেখাই যাচ্ছে কে কে জড়িত এখানে আর রিমান্ড কি দরকার সোজা তাদেরকে ফাঁসিতে ঝুলিয়ে দেওয়া হোক,0,crime
ভাই তুই ঠিক আছোস তো?তোর মুখে দাড়ি টুপি কই তুই তো মালাউন এর বাচ্চা প্রতারক কথা কাজে মিল নেই মুকাফেক তুই পিকচার এ দিলি হাফিজুর রহমান এর পিকচার কিন্তু ভিডিও তে প্রুফ দিলি কই ? সালার চ্যানেলে সবাই রিপোর্ট মারো,1,religion
মাদারচোদ পাপন তুই সাকিবের পাশে কেমনে দাড়াস তোর যোগ্যতা আছে সালা বাটপার। বাংলাদেশের খেলাই আর দেখমু না,1,sports
আবালের সরকার। আবাল শিক্ষামন্ত্রী। আবাল প্রধানমন্ত্রী।,1,celebrity
দেয়ান বাগের জন্ম দিয়েছে কুকুরে,1,religion
পাগল ছাগল,1,politics
তুই একটা ছোট লোক তুই কখনই হ্যাপির জন্য ফিট ছিলিনা তুই হলি আন ফিট বয় সেলেব্রেটি লজা করেনা তোর তোকে তো গাঞ্জা খোরের মতো লাগে শালা রংপুরের মফিজ,1,sports
"আরে বোকচোদ, চাষার ছেলে মেধাবী হলেও তারা চাষা হবে আর ভুয়া মুক্তিযোদ্ধার সন্তানরা সভ্য হবে এদেশে। তোদের মত পা চাটা গোলাম থাকতে এদেশে মেধা তৈরি হবে না। আগে মানুষ হ পরে গ্যান চোদাস",1,celebrity
আপনাকে ভালো লাগে যুক্তি দিয়ে গরীব বাংগালির সরকারের কুকর্ম ধরে দেয়ার জন্য আসলে সরকার বিপক্ষে কোন স্টেইটমেন্টে মানেই আপনি বিএনপি আর জামাত আশা রাখছি বাংলাদেশের সাথে ভারতে যে চুক্তি হয়েছে সেই বিষয়ে কিছু বলার যে চুক্তি গুলো সংসদ বা জনগন থেকে আড়াল রেখেছে আওয়ামীলীগ ধন্যবাদ ভাই ভালো থাকবেন,0,politics
কল দিও সোনা আমার,0,"Meme, TikTok and others"
কথায় আছে চোরের মায়ের বড় গলা আল্লাহ তুমি বিচার করো,0,politics
সাকিব কি জিনিস পাপন বুঝল না এটা খালেদাজিয়ার মাথা না😂😂।,0,sports
"যদি পৃথিবীর সব গোলাপ প্রতিদিন একটা করে তোমাকে দিয়ে বলি আমি তোমাকে ভালবাসি ,সব গোলাপ শেষ হয়ে যাবে ..তবুও আমার ভালবাসা শেষ হবে না ..হয়তো আজও আমার ভালবাসার গভীরতা বুঝতে পারো নি ...!!+97466982508",0,entertainment
এ রকম পুলিশ বাংলাদেশে চাই,0,"Meme, TikTok and others"
আরে শালার ভাই শালা ছবি দেখলে দেখ না দেখলে না দেখ খারাপ কমেনস করিস কেনো,1,entertainment
মাগি বুবলি,1,"Meme, TikTok and others"
মিথিলা খারাপ,0,"Meme, TikTok and others"
কমেন্ট সেকশন দেখলেই বুঝা যার রাজাকারের বিবি বাচ্চাদের পুটুতে আগুন লাগায়ে দিয়েছেন। তবে এদের বেশিরভাগ পাকিবীর্য থেকে জন্ম নেওয়া নিকৃষ্ট কীট ছাড়া আর কিছু না।,1,celebrity
এই কুকুরের বাচ্চার বিরুদ্ধে আইনি ব্যবস্থা নেয়া হোক,1,crime
কসম করে চোরে তুইতো বৌ চোর অন্নের বৌ চুরি করে আইনছিস হাফিজুর রহমান চোর,0,religion
নায়ক মানে চাগল,1,entertainment
সত্যের পথে থাকলে ভাই কিছু বৃথা দিতে হয়।এগিয়া যান ভাই দোয়া রইল।,0,politics
হালা হলো কুত্তা,1,"Meme, TikTok and others"
রিফাত হত্যার মূল আসামি তার স্ত্রী মিন্নি,0,crime
সটিক বলেছেন পপি,0,"Meme, TikTok and others"
তুই শালা একটা মাদারচোদ,1,sports
চৈতালি চুদে দিয়ে হাত তালি,1,"Meme, TikTok and others"
সব বাদ দিয়া ইন্ডিয়া আর কথা শুইনা হিন্দু ধর্মের লোক ঢুকাইবো 😅,0,politics
এরা হয় কি ভাবে জাজ সব কয়টা ছাগলের বাচ্ছা এর থেকে জাজ,1,entertainment
জন নাস্তিক কে একসাথে ধোলাই দিলেন আল্লামা মামুনুল হক,0,religion
খানকিমাগি এইসব বালছাল খবর কোথা থেকে জোগাড় করিস,1,"Meme, TikTok and others"
ভালবাসার চেয়ে কোন অস্ত্র আজও তৈরী হয়নি ৷আর কোন হবে না তৈরী &quot;৷ভালবাসা দিয়ে পৃথীবিকে জয় করে নিতে হয় ৷বলদ মজিদ তাই করেছে ৷তাই বলি ভালবাসতে শিখুন ৷,0,entertainment
তোমার কোন বালটায় ক্ষমা করবে না? তুই হালা তো ভন্ড,1,religion
সালা মানুষের বাচ্চা না সালা সুয়ের বাচ্চা,1,"Meme, TikTok and others"
জনগন কোটি কোটি টাকা তাদের পিছে খরচ করে আর একটা গালি দেওয়াতে কুত্তার মত গেও গেও সুরু করছে কেন কুত্তারবাচ্চারা,1,sports
কুত্তার বাচ্চা কুলাঙ্গার সাকা,1,"Meme, TikTok and others"
সাহসী ইউটিউবার👏 ধন্যবাদ ভাই,0,politics
এই মাগি মরগ,1,politics
শেখাসিনা খানকি মাগি এখোন আর দেখেনা ওর ছামা আর চুলকায়না,1,politics
এ কুত্তা ওহাবী তোরে ফুটকি মারছে নি,1,religion
এটা কোন কমেডি হলো,0,crime
আমাদের আইঞ্চলিক ভাষায় একটা কথা আছে কম পানবর মাছ যদি বেশী পানিত পরলে চাটাচাটি করে শালারা কম পানির মাছ,1,entertainment
তোর মারে এনে দে চুইদা তোর মত আরো একটা জারজ বানাক,1,"Meme, TikTok and others"
ববুলি কে চাই না,0,"Meme, TikTok and others"
বিএমপি চোর,1,politics
সাবাস সাংবাদিক,0,politics
ওই ডিসির মাইয়া থাকলেও ডিসির মাইয়ারে আমি চুদিবো,1,crime
হের সোনা কেটে জুলাইয়া রাখবার উচিত লুচ্চা সালায় বলে ডিসি।,1,crime
শালিন আর অশালিন বলে দুটো কথা আছে আমি জানতে চাই তোমার পোশাক টা কি শালিন না অশালীন,0,"Meme, TikTok and others"
"বালের ছবি, নায়িকা গুলোরে দেখলে মনে হয় অষ্টেলিয়ান জার্সি গাভী আর দুধের জন্য সেরা হবে প্রতিযোগিতা করলে?????",1,entertainment
তোক কি মিনিন চদবা দিছে,1,"Meme, TikTok and others"
জানুয়ার মানে বি এন পি কুতার বাচচা মানে বি এন পি জারজ দল মানে বি এন পি ছাএদল মানে জারজ দল,1,politics
শালা পাপন তুই আসলে একটা বাইঞ্চোদ হারামজাদা,1,sports
"কিছু বলার বাসা নাই ,কিছু কিছু কুত্তার বাচ্ছা জন্য ও এমন হয়, এক জন্য বলছো কেনো তারা কথা বলি কেনো ? হে ভাই আমরা ছেলে কেনোতাদের সুন্দর দেখা সুখে পথ দেখাই ,যেম একটা মেয়ে কে তার বাবা মা কিয়ে দে তো সুখ জন্য ভালো থাকার জন্য কিন্তু কিছু কুত্তার বাচ্ছা নেসার জন্য বিক্রি করে দেই ,আবার নিজে সব কিছু সেষ করে পরে বিয়া না করে বিক্রিকরে দেইদুসু এটা বলে হবে না,তারাখারাপ, ,কোনো কোনো কারন এমনা হয়ছে, আচ তো আত আমরা ওগাড়ি নিজে পরে মরে যেতে পারি তাই কি গাড়ি ওলাদাই না কারন আমি দেখা যাই নি, আসো সবাই নিজে নিজে সব কিছু ঠিক করি পারলে, নিজে তাদের টাকা দিয়ে এনে একটা সুখে ঠিকনা দেন দেখন তারা কতো খুশি হয়, ওপর ওলা আপনার জন্য খুশি হবে, আমার কথা বলে হলে খমা চখে দেখবেন সরি? /////",1,entertainment
ছাএ রা কি বলেছে আমি রাজাকার আয়মী লীগ রাজাকার বলেছে  নটির ভাচচা,1,celebrity
"বিনয়ের সাথেই বলছি - ""ইংরেজি নববর্ষ"" কথাটাই ভুল। আর সত্যের অপলাপ তো আছেই। বিবেকের জানালায় তালা লাগিয়ে বুদ্ধিজীবী হয় কী করে?   এটাকে বিশাল বিজয় বলতে বিবেক লজ্জা পেলোনা?",0,celebrity
দেওয়ানবাগী একটা কুত্তার বাচ্চা,1,religion
বিবাড়ীয়া সিলেট বিভাগে নয় ভাই। চট্রগ্রাম বিভাগে পড়েছে। জেনে কথা বলবেন বা ভিডিও বানাবেন।।,0,religion
অপিসের মেয়েদের না চুদে তুর মারে গিয়া চুদ তুর মা খুশি তুই ও খুশি,1,crime
চার নাস্তিক দের জুতা দিয়া পিটানো দরকার,0,religion
মিস্টার ফিনিশার,0,sports
"অসাধারণ, প্রভাবিত হবার মতোই লেখনী।তবে,চাঁদের মতো স্যর 'দেরও আছে(ভীরুতা?)।",0,celebrity
এরে মাদারচোদ ছবির লাস্টের টা কি তোর ভাবির বোদার বিতরে ঢুকাইছোতনি?,1,entertainment
অই শালার্পুত কেমন আসস?,1,celebrity
শিশু টার জন্য কস্ট হচ্ছে।মা টাকে ফাঁসি না দেয়ে জাবতজীবন দিলে ভাল হত,0,crime
তুইবালপাকনা,1,religion
ভারতবর্ষের জাতীয় সঙ্গীত বাংলা ভাষায়! ওয়াও! 🔫,0,celebrity
ছবিটি দেখতে খুব সুন্দর,0,entertainment
বাংলাদেশের সানিলিওন,0,"Meme, TikTok and others"
ওবায়দুল কাদের যেই পরিমাণ ফুটেজ খায় তামাশা কইরা এই সময়ে কয়েকশো মুভি দেখানো যাইতো।,0,politics
মিন্নি সত্যি পরিকল্পনা করে তার স্বামীকে হত্যা করিয়েছে । ধন্যবাদ,0,crime
হালারে জুতার বারি দেওয়া হউক,1,crime
চার কুত্তার বাচ্চা নাস্তিক গুলিই কে জুতাদিয়া বাড়িয়াইতে হবে লেংটাকরে।,1,religion
বন্ধ করুন সবার মন্তব্য ফুল ভিডিও না দেখে উল্টাপাল্টা মন্তব্য করবেন না! শেষের দিকে মিনিট সেকেন্ড যখন আব্বাসিকে পীর সাহেব নিয়ে প্রশ্ন করা হয়েছিল তখন পিছন থেকে হয়তো সে পীর অথবা পীরের মুরিদ কথা বলে ওঠে যে এত প্রশ্ন করা ঠিক না তখন আব্বাসী বলে ওঠেন যে আপনাদের লোকই তো প্রশ্ন করছে তখন সে পেছনে থাকা লোকটি বলে উঠেন এ বিষয়টি আমি দেখছি বলে দাঁড়িয়ে কথা বলতে শুরু করেন এরপরে সামনে সবাই যখন উল্টাপাল্টা কথা শুরু করে তখন আব্বাসী রাগ করে চলে যান হয়তো আমি লিখে বুঝাতে পারলাম না বোঝার জন্য ভাল করে ভিডিওটি দুচারবার দেখতে থাকুন বুঝে যাবেন এই ভিডিওটি ভাইরাল হওয়ার জন্য এরকম কিছু লেখা হয়নি পীর সাহেব সম্পর্কে ধারণা দেওয়ার জন্য লেখা হয়েছে যেন সবাই ভিডিওটা দেখে এবং পীর সাহেব সম্পর্কে ধারণা পায় ধন্যবাদ ভালো থাকবেন সবাই,0,religion
"রুবেল অভিনীত মুভি সম্পর্ক, ইনকিলাব,লাওয়ারিশ, বিষদাঁত, উদ্ধার। থাকলে দিন।",0,entertainment
"আপনি কি কবর থেকে উঠে আসলেন নাকি!!আপনার নাম শুনলে বমি আসে আগে ভালবাসতাম আর এখন করি ঘৃণা,জানাই ধিক্কার।লজ্জা কই গেছে??মুখ উঠাই কথা বলতে আসছেন।",0,celebrity
স্যার বাংলাদেশে নাকি দালাল চাষ হচ্ছে কোন এক টিবিতে দেখলাম তাও এবার বাম্পার ফলন বৃষ্টি ছাড়াই।,0,celebrity
সবাই একটি বিষয় নিয়ে খারাপ মন্তব্য করেছে যেটা মোটেও ঠিক নয় কারণ যে যত খারাপ তার চিন্তাভাবনা ঠিক তেমনি হবে এই নায়িকা এখন সাংসারিক ও সালে অভিনয় ছেড়ে দিয়েছে ও পরেও মনে হয় টি ছবিতে অভিনয় করেছে আমরা সংযমী হতে শিখি,0,"Meme, TikTok and others"
যত সব হাগল ছাগল।,1,entertainment
প্রত্যেকটা কথা চমৎকার!! অনেক ধন্যবাদ স্যার।,0,celebrity
স্যার আপনি আমাদের মুখ্যমন্ত্রী মমতা ব্যানার্জী সম্পর্কে একটা ভিডিও বানান,0,"Meme, TikTok and others"
মজা তুমি পাইছ আমিও পাইছি শালার এত বর প্রমান তার পর আবার তদন্ত কিসের,1,crime
আমি ঔ খানে থাকলে সব শালার মুখ জুতা খুলে মারতাম।।,1,entertainment
স্বামি যখন দুনিয়া থেকে চেল গেল মিন্নি স্বামির সামনে দাড়িয়ে কেন কোপ খেল না জন ই মরে কি সমাস্যা ছিল।,0,crime
জুতা পেটা করা উচিত মুশফিক কে,1,sports
চুরের বাচ্চার মিথ্যা বলে ভিও বাড়াবি এই রকম কাজ করে যারা তাদের জন্মের ঠিক নাই,1,religion
এদের কে মেরে ফেলা উচিত,0,religion
সবাই ফাঁসি ফাঁসি বলে চিল্লাচ্ছে।ফাঁসি কি তোর মার হুগা থেকে বের হয়?যেভাবে মারসে সেভাবে কোপ দিয়ে মার চুদান্না পোলাগুলারে।,1,crime
দেওয়ালে পিঠ ঠেকে গেছে অথচ প্র্যাকটিকাল খাতা এখনো আঁকা এবং লেখা হয়নি।পরীক্ষার আর বেশিদিন বাকি নেই।পড়াশোনা এবং প্র্যাকটিকাল খাতা আঁকা ও লেখা নিয়ে হিমশিম খাচ্ছেন? কোন সমস্যা নাই।আমরা আছি কিজন্য?যোগাযোগ করুন-01791643953 এই নাম্বারে।  [বি.দ্র-আমরা এখনো হাত অত লম্বা করতে পারিনি বিধায় চট্টগ্রামের বাইরে কাজ করতে পারছি না।অতএব শুধুমাত্র চট্টগ্রামের শিক্ষার্থীদের জন্য করতে পারছি।তবে কেউ যদি কুরিয়ার খরচ দিয়ে করাতে চান সেক্ষেত্রে দেশের যে-কোন প্রান্তের কাজ করে দিতে পারব।],0,celebrity
চার মাগির বাচ্চা তোরা সবাইতো ইসলামি বিরোধী খানকিরপোলা।,1,religion
এই বাবার জুতা দিয়েই বাবার দিয়েই পিটানো উচিত ছিল,0,"Meme, TikTok and others"
এই খানকি খুনকির লেইগা পোলাপাইন<br />গুলা খারাপ হইতাছে<br />পিডা সালিরে,1,sports
সাধারণ জ্ঞান নেই তাহেরির,0,religion
"আসলে কি বলবো ভাই ,আপনার কথা গুলো খুব ভালো লাগছে।",0,sports
কেয়ামত তো অনেক নিকটে এসে গেছে,0,religion
তুরে পাইলে জুতা দিয়া বাইরামু তুই কারে কি বলছত তুই জারজ সন্তান,1,religion
এই চার নাস্তিক কে আল্লাহ এমন সাস্থি প্রধান করবেন যা দুজোখের সব বড় সাস্থি হবে,0,religion
অ সুদানির মাগি জিয়াউর রহমানের জুতার সমান হবিনা তুই মাগি জিয়াউর রহমান সত্যি কারে্র মানুষ ছিল তাই বাঙ্গাচুটকিজ আর ছিরা গেঞ্জি রেকে গিয়েছিল ৷ কিন্তু শেক মুজিব ত দেশের জনগণের টাকা লুট করে তার পরিবারের জন্য জমা করছিল তুদের কথাইত তুরা জে ডাকাতের দল এইটা বুজা যাছে,1,politics
ফুটেজে সবকিছু এখানে সাক্ষী প্ৰমাণেৰ কোনো প্ৰয়োজন নাই। ফাচী । আজকে দিন পাৰ হয়ে যায় খুনিদেৰ ফাচী কেন হয়না? ঐ বাংলাদেশী গৰুৰ দল অতিশীঘ্ৰে ফাচীৰ ব্যাৱসথা কৰ ।,0,crime
পরিচালক গাঞ্জা খেয়ে বাল লেখছে।,1,entertainment
সব কিছুর মধ্যে ও সকল কাজ কর্ম ঠিকই আছে টাকা মালেশিয়া পাচার হচ্ছে কিনা,0,politics
আমার মনে হয় আপনারা এক দরনের কলংক,0,religion
মাগী একটা,1,crime
আমি প্রশাসনকে দৃষ্টি আকর্ষণ করে বলছি মুন্নিকে ধরেন ওরে রিমান্ডে দেন সব বের হয়ে যাবে কারণ ও রিফাত শরীফ হত্যার সাথে সিওর জড়িত আছে!!!,0,crime
"ওই শুয়র তোর মাতো তোকে জন্ম দিয়েই ভুল করেছে। এই বাংলার ভাগ্য ভালো যে তোকে কবরে শুইয়ে দিয়েছে, ভালো থাক তুই পরকালে।",1,celebrity
তার মানে কি আরও ক্ষমতায় থাকার আশা?? মরার পরে কি হবে রে মনু ।,0,politics
এগুলা জারা করে তাদের জনমের ঠিক নাই এরা মানুসের জনমো না এরা অমানুসের জনমো,0,politics
ঔ মাগি তুই এত হলি সবকিছু মূল খলনাইকা,1,crime
এই সব মেয়ে দের কঠিন বিচার করা দরকার।,0,crime
বাংলাদেশই খালি এইধরনের ভন্ডামি চলে।অন্য কোন দেশে এরকম ভন্ডামির জায়গানায়।,0,religion
এখন এই বাল ছাল নিয়েই পরে থকো,1,crime
মাননীয় পাবলিক আমি এই চার নাস্তিককে মাঝ নদীতে নিয়ে পোন্দাতে চাই!!!,1,religion
জুতা মারি পাপনের কপাল,0,sports
কুত্তার বাচ্চা ভন্ড।,1,religion
এই জারজ মাগি তুই তোর বাবার সাথে সেক্স কর,1,religion
রুবেল তোর মুখে জুতা মারি। কুত্তার বাচ্চা তুই নাকি জাতীয় টিমের খেলোয়ার,1,sports
মাগির ছেলেদেরকে আজকে ফাঁসি দেওয়া হোক মেয়ে দেরকে আগে,1,crime
শালা একটা কুত্তা,1,"Meme, TikTok and others"
"মিশা বড় বেয়াদব,,লুচ্চা নাম্বার ওয়ান।",1,entertainment
"-ষাড়😎 দুই এক লাইন পড়ার পড়, কমেন্ট গুলো দেখে বড় অফাক হইলাম 😲😲",1,celebrity
বাংলাদেশের ছাএ সমাজ +সর্বপরী জনগোষ্ঠী ভিপি নূরের সাথে সহমত পুষুন করে আগামী দিনের শিক্ষা ব্যবস্থা সঠিক পথে চলে যেনো কোন শিক্ষাপতিষ্টানে কোন মায়ের বুক খালি না হয় +দেশের অপশক্তি কে দমন করো,0,politics
কুত্তার বাচ্চা শিকক্ষ,1,politics
আপুর আজ এমনটা হতনা আপুকে আমার ভালোলাগে,1,"Meme, TikTok and others"
ঝা বেটা ।চুলের সুন্নত কি আরো আবাল কি বলে।। সালায় ফাওল একটা,1,religion
ও মাগি তই একটা মাগি তোর মা ও কি মাগি চিলো,1,"Meme, TikTok and others"
আপনি যেই খেলা দেখাইছেন 😅😅😅,0,crime
ওর তো কিছু হবেনা কিন্ত যে আপলোড দিছে তার তো খবর আছে,0,crime
আমার ক্ষমতা থাকলে ওই শয়তানকে সবার সামনে পাথর নিক্ষেপ করে মারতাম আর যে কি কি করতাম।।।। আমাদের প্রধানমন্ত্রী ওই শয়তানকে কিছু বলেন না কেন?,0,religion
হালার পো একটা পাগল,1,celebrity
পাপনের ওর বাপের গোয়া দিয়া হইছে তাই শাকিবের বেন লাগাইছে দুই বছর পর মাদারচোদ,1,sports
এ মানুষ,0,"Meme, TikTok and others"
পরিবর্তন করে লাভ নেই।যারা বিনাভোটে নির্বাচিত তারা কখনও দেশের কথা ভাবে না,0,politics
প্রত্যাখান তো করেছে না কি এই শুয়োরের বাচ্চারা আইসিসি ঘুস তো খায়নি?? আর জানায় নি তো কি বাল হয়েছে তোরা কার বাল রে?? জানালেও বা কি বালটা ছিঁড়বে তারা কি জানেনা কে কে বেটিং করে জুয়া খেলে?? এরপরও কিছু করতে পারবে না পরিষ্কার কথা কারণ ওরা তাদের বাপেরও বাপ। সাকিব ভাই তোমাকে স্যালুট ঘুস না খাওয়ার জন্য। আচ্ছা টা কথা বলি এখন তো আইসিসির খানকীরা জানতে পেরেছে যে কে বা কারা সাকিব ভাইকে ফোন করে প্রস্তাব দিয়েছিলো তো এখন কি বালটা ছিঁড়বে মশাই অথবা কি বালটাই বা ছিঁড়তে পেরেছে ঐ জুয়ারীদের?? মাগীর বাচ্ছারা শুধু পারবে যে ঘুস খায় নি তাকে পুরস্কৃত না করে তাকে না করে উল্টো সাজা দিতে। এই বাইনচুদের বাচ্ছারা আইসিসি তোদের আবার কিসের বালের এন্টি করাপসন ভুরো রে?? ঐটা দিয়ে কি একে অপরের বাল ছেঁড়া ছেঁড়ি করিস?? কুত্তার বাচ্চারা। নিরপরাধ মানুষটিকে সাজা শুনিয়ে নিজেরা খুব এইটা চোদাও না?? আর যারা জুয়া খেলে তাঁদের পা চাটো কমিশনের জন্যকুকুর চোদারা। বাংলাদেশের ক্রিকেট বোর্ড আরও বড়ো বাইনচুদ। শুধু পোষ্ট চায় টাকা চায় কিন্ত পাশে দাঁড়ায় না প্রতিবাদও করেনা। দুর তোরা মর শালারা। বাংলার ক্রিকেট বোর্ড আর সিনেমা বোর্ড একই পয়সার দুটো দিক একিজাত। আর বললাম না।সাকিব ভাই জিন্দাবাদলাভ ইউ 😘,1,sports
মিসা লুচ্চারে পাইলে একটা জুতা দিয়ে পিটিয়ে দিতাম,1,entertainment
কাউয়া কাদের বাদ হবে তাহলে??,1,politics
অবৈধ ভাবে ক্ষমতা য় আসার সকলে গোপন রুমে এভাবেই ভিডিও ছাড়তে থাকুন অবিরাম অন্তহীন,0,crime
এটা তো আমার বউ এর থেকে বড় 😑,0,entertainment
"টিজার অনেক আগেই কতো বার দেখেছি, আর কতো দেখবো,পারলে ফুল মুভিটি ইউটিউবে ছাড়েন?",0,entertainment
অনেক দিন পর একটা বাংলা ছবি দেখলামভালো লাগছে,0,entertainment
পাশি চাই হারামযাদার,1,"Meme, TikTok and others"
আল্লাহর বন্ধুকে গালি দিতে আপনাদের বিবেকে বাধে না। শয়তান তাসকিন যে কুত্তার থেখেও অধম যে ইউটুবে এ টা অপপ্রচার করে লাখ লাখ টাকা ইনকাম করছে। এ কুলাঙ্গার কে কেউ গালি দেয় না। হায়রে বাংলার শিক্ষিত মানুষ হায়রে এদের বিবেক ।,1,religion
যেমন করবে তেমন পাবে উন্নতি আর অবনতি যেটা ভালো লাগে করবে,0,"Meme, TikTok and others"
ভালবাসার প্রিয় ভাই❤ আশাকরি সবসময় এই রকম সত্যের পথে থেকে সত্যি কথা বলে যাবেন।,0,politics
ভারত জিন্দাবাদ____,0,"Meme, TikTok and others"
বাংলাদেশে কি ছেলের অভাব যে এই নিগরু টাকে নিয়ে মেয়েরা স্বপ্ন দেখে,0,sports
তুই হইলি বড় মাদারচোদ,1,sports
এই শালা একনামবার ভনঠ,1,religion
"আমারা তো গিনিপিক,আমাদের উপর পরিক্ষার উপর পরিক্ষা হএ",0,celebrity
তুই আমার বালের বাল,1,"Meme, TikTok and others"
বিচারক কে লাগে গরু চুলের মত শালা পালতু বিচারক সবাই,1,entertainment
এইশালিগোকইথেদইরানিয়াআইছে,1,"Meme, TikTok and others"
দূত ফাসি চাই জন খুনির,0,crime
অনেক ধন্যবাদ। এরকম আরও ভিডিও বানালে ভাল হবে।,0,religion
হিজলা নায়ক,1,"Meme, TikTok and others"
ওই আবুল মার্কা হিরোকে ঢাকতেই মনে হয় আবালচোদা ডিরেক্টর স্টিল ছবি দিয়া গানটা রিলিজ দিছে। এইভাবে হিরুকে ঢাইকা ছবি রিলিজ দিবো..... হাহা হা ....... সেই ছবি আবার হিট হইবো???? হা হা হা,1,entertainment
কিন্তু পশ্চিমা জগতের মিডিয়া বিবিসি কিংবা গুরুত্বপূর্ণ সাময়িকী দি ইকোনোমিস্ট এর মত সাপ্তাহিকী কিন্তু এখনো যথেষ্ট শিক্ষিত বা উদার হতে পারেনি। এই বালের কথা কই পাইছেন শুওর? রোজ রোজ বালের আলাপ পাড়বেন আর গালির চোদন খাইয়াও বালের আলাপ কেম্নে কি ছার?,0,celebrity
সবকটা জানোয়ার জানোয়ারের মতন ব্যবহার,1,entertainment
ওই শালা দারিয়ালার নাম কি কেউ দয়াকরে যানাবেন। শালা বাইনচোদ।,1,entertainment
এই অাফিসার কে ধরে অাইনের অাওতায় অানা হইক তারা যদি লুচ্চামি করে তা হলে জনগন কি করবে,1,crime
বান্দরের বাচ্চা ভন্ড তোর মায়েরে বদলাতে চুদামু,1,religion
শাকিব খান এর নোলক মুভির গান দেউ,0,entertainment
মাদারচুদের বাচ্চাকে পাগলা কুকুরের সামনে বেঁধে রাখা দরকার,1,"Meme, TikTok and others"
শালি তোর এই খবর পড়া শুনলে মনে হয় দু গালে আচ্ছা করে থাবরাই দিই খানকি মাগি,1,"Meme, TikTok and others"
কি মুভি দিলিরে ভাই,0,entertainment
এসব কুত্তার বাচ্চা জন্য দেশ নষ্ট হচ্ছে,1,crime
ভিপি নূর ভাইকে জে গায়ে হাত তুলেছে সে হলো রাজাকার এবং দেশের সক্রু আর জারজ সন্তান,1,politics
এরকম কান্না তো নুসরাতের মা ও করেছিল এবার বুঝ কেমন লাগে সন্তান হারানোর কতটা কষ্ট,0,crime
